node,value,variable,i1,i2
24,0.08419937133789125,C_heat_prod,Geothermal,12
24,0.02981602986653696,C_heat_prod,Geothermal,6
24,0.10652679443359425,C_heat_prod,Geothermal,14
24,0.0,C_heat_prod,HeatPump,11
24,0.0,C_heat_prod,HeatPump,20
24,0.0,C_heat_prod,Geothermal,1
24,0.0,C_heat_prod,HeatPump,21
24,0.07401997884114651,C_heat_prod,Geothermal,11
24,0.0,C_heat_prod,HeatPump,5
24,0.0,H_heat_unmet,4
24,0.0,H_heat_unmet,1
24,0.0,H_heat_unmet,12
24,0.0,H_heat_unmet,20
24,0.0,H_heat_unmet,2
24,0.0,H_heat_unmet,6
24,0.7957414245605475,H_heat_unmet,22
24,0.0,H_heat_unmet,11
24,0.0,H_heat_unmet,13
24,0.0,H_heat_unmet,5
24,0.0,H_heat_unmet,15
24,0.0,H_heat_unmet,16
24,0.0,H_heat_unmet,14
24,0.0,H_heat_unmet,21
24,0.0,H_heat_unmet,7
24,0.0,H_heat_unmet,8
24,0.0,H_heat_unmet,17
24,0.0,H_heat_unmet,10
24,0.0,H_heat_unmet,19
24,0.0,H_heat_unmet,9
24,0.0,H_heat_unmet,18
24,0.0,H_heat_unmet,3
24,1.0,admin,HeatPump
24,1.0,admin,Geothermal
24,1.0,admin,Boiler
24,0.055040847727496955,invest_cumulative,HeatPump
24,0.013306168004086186,invest_cumulative,Geothermal
24,0.4152538440845612,invest_cumulative,Boiler
24,0.2841512298583975,H_heat_prod,Boiler,19
24,0.2030464426676427,H_heat_prod,HeatPump,15
24,0.0,H_heat_prod,Boiler,22
24,0.0,H_heat_prod,Boiler,12
24,0.0,H_heat_prod,Boiler,5
24,0.0,H_heat_prod,Geothermal,9
24,0.12448225263196286,H_heat_prod,Geothermal,17
24,0.015547714233397875,H_heat_prod,HeatPump,3
24,0.12896768817727414,H_heat_prod,Geothermal,16
24,0.24574929489636102,H_heat_prod,Boiler,18
24,0.0,H_heat_prod,Boiler,2
24,0.0,H_heat_prod,Boiler,8
24,0.0,H_heat_prod,Geothermal,3
24,0.0,H_heat_prod,Boiler,14
24,0.0,H_heat_prod,Geothermal,5
24,0.0,H_heat_prod,HeatPump,17
24,0.0,H_heat_prod,Boiler,4
24,0.0,H_heat_prod,Boiler,13
24,0.0,H_heat_prod,Geothermal,19
24,0.0607692972819005,H_heat_prod,HeatPump,6
24,0.373728459676105,H_heat_prod,Boiler,21
24,0.0,H_heat_prod,Geothermal,13
24,0.0,H_heat_prod,Geothermal,4
24,0.0,H_heat_prod,Geothermal,21
24,0.0,H_heat_prod,Geothermal,20
24,0.0,H_heat_prod,HeatPump,19
24,6.612141921547027e-7,H_heat_prod,HeatPump,2
24,0.152301177978515,H_heat_prod,HeatPump,12
24,0.0,H_heat_prod,Geothermal,2
24,0.09145660788392312,H_heat_prod,HeatPump,16
24,0.0,H_heat_prod,Geothermal,8
24,0.013465894719523997,H_heat_prod,Geothermal,18
24,0.0,H_heat_prod,HeatPump,18
24,0.0,H_heat_prod,Boiler,1
24,0.03084172566731725,H_heat_prod,HeatPump,4
24,0.0,H_heat_prod,Boiler,3
24,0.0,H_heat_prod,HeatPump,1
24,0.0,H_heat_prod,Geothermal,22
24,0.07578445434570251,H_heat_prod,HeatPump,7
24,0.0,H_heat_prod,Geothermal,10
24,0.0,H_heat_prod,Boiler,16
24,0.0,H_heat_prod,HeatPump,22
24,0.1686433410644525,H_heat_prod,HeatPump,13
24,0.09087005615234325,H_heat_prod,HeatPump,8
24,0.0,H_heat_prod,Boiler,6
24,0.11405435320299764,H_heat_prod,Boiler,17
24,0.0,H_heat_prod,Boiler,9
24,0.3196834818522125,H_heat_prod,Boiler,20
24,0.10595718383789005,H_heat_prod,HeatPump,9
24,0.1856039937337235,H_heat_prod,HeatPump,14
24,0.0,H_heat_prod,Geothermal,15
24,0.12118545532226499,H_heat_prod,HeatPump,10
24,0.0,H_heat_prod,Geothermal,7
24,0.0,H_heat_prod,Boiler,11
24,0.0,H_heat_prod,Geothermal,12
24,0.0,H_heat_prod,Geothermal,6
24,0.0,H_heat_prod,Boiler,7
24,0.0,H_heat_prod,Geothermal,14
24,0.13662137349446551,H_heat_prod,HeatPump,11
24,0.0,H_heat_prod,HeatPump,20
