quantile,variable,count,technology,heat_production,primary_energy,CO2_emissions,OpEx,Q,period,ssp
4,CDH,346.5,HeatPump,0.04421999999999998,0.004874517729193458,0.0007311776593790187,1.4696321085008264,0.17688,2030s,ssp370
5,CDH,288.5,HeatPump,0.08843999999999999,0.010925937364877385,0.0016388906047316077,3.294091694595095,0.22110000000000002,2030s,ssp370
6,CDH,216.66666666666666,HeatPump,0.13265999999999997,0.01818505825908156,0.002727758738862234,5.482664541857435,0.26532,2030s,ssp370
7,CDH,160.5,HeatPump,0.17688,0.02668376390722233,0.0040025645860833495,8.044963295312089,0.30954000000000004,2030s,ssp370
8,CDH,111.83333333333333,HeatPump,0.2211,0.03645507007419622,0.005468260511129432,10.990941971104702,0.35376,2030s,ssp370
9,CDH,80.66666666666667,HeatPump,0.26532,0.04753317550707019,0.007129976326060528,14.330911246014459,0.39798,2030s,ssp370
10,CDH,44.666666666666664,HeatPump,0.30954000000000004,0.05995351539802442,0.008993027309703663,18.075554576147592,0.44220000000000004,2030s,ssp370
11,CDH,28.0,HeatPump,0.35375999999999996,0.07375281777314484,0.011062922665971725,22.2359451977536,0.48642,2030s,ssp370
12,CDH,16.0,HeatPump,0.39798,0.08896916299559472,0.013345374449339208,26.82356406700441,0.53064,2030s,ssp370
13,CDH,9.0,HeatPump,0.44220000000000004,0.10564204658570579,0.015846306987855868,31.850318799800927,0.57486,2030s,ssp370
14,CDH,7.2,HeatPump,0.4864200000000001,0.12381244557572511,0.018571866836358766,37.328563677253,0.6190800000000001,2030s,ssp370
15,CDH,5.0,HeatPump,0.53064,0.14352288863344378,0.021528433295016566,43.27112078745013,0.6633,2030s,ssp370
16,CDH,7.0,HeatPump,0.57486,0.1648175302068401,0.024722629531026014,49.69130237953922,0.70752,2030s,ssp370
17,CDH,2.0,HeatPump,0.6190800000000001,0.1877422289613344,0.02816133434420016,56.60293451199395,0.7517400000000001,2030s,ssp370
1,CDH,614.3333333333334,Geothermal,0.04422,0.002327368421052632,0.0003491052631578948,0.7016848742605264,0.04422,2030s,ssp370
2,CDH,540.1666666666666,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4033697485210528,0.08844,2030s,ssp370
3,CDH,433.0,Geothermal,0.13266,0.0069821052631578945,0.0010473157894736842,2.1050546227815787,0.13266,2030s,ssp370
4,CDH,346.5,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.17688,2030s,ssp370
5,CDH,288.5,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.22110000000000002,2030s,ssp370
6,CDH,216.66666666666666,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.26532,2030s,ssp370
7,CDH,160.5,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.30954000000000004,2030s,ssp370
8,CDH,111.83333333333333,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.35376,2030s,ssp370
9,CDH,80.66666666666667,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.39798,2030s,ssp370
10,CDH,44.666666666666664,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.44220000000000004,2030s,ssp370
11,CDH,28.0,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.48642,2030s,ssp370
12,CDH,16.0,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.53064,2030s,ssp370
13,CDH,9.0,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.57486,2030s,ssp370
14,CDH,7.2,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.6190800000000001,2030s,ssp370
15,CDH,5.0,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.6633,2030s,ssp370
16,CDH,7.0,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.70752,2030s,ssp370
17,CDH,2.0,Geothermal,0.13266000000000003,0.006982105263157896,0.0010473157894736844,2.105054622781579,0.7517400000000001,2030s,ssp370
1,CDH,614.3333333333334,BTES,0.04654736842105263,0.0,0.0,0.0,0.04422,2030s,ssp370
2,CDH,540.1666666666666,BTES,0.09309473684210526,0.0,0.0,0.0,0.08844,2030s,ssp370
3,CDH,433.0,BTES,0.1396421052631579,0.0,0.0,0.0,0.13266,2030s,ssp370
4,CDH,346.5,BTES,0.1396421052631579,0.0,0.0,0.0,0.17688,2030s,ssp370
5,CDH,288.5,BTES,0.1396421052631579,0.0,0.0,0.0,0.22110000000000002,2030s,ssp370
6,CDH,216.66666666666666,BTES,0.1396421052631579,0.0,0.0,0.0,0.26532,2030s,ssp370
7,CDH,160.5,BTES,0.1396421052631579,0.0,0.0,0.0,0.30954000000000004,2030s,ssp370
8,CDH,111.83333333333333,BTES,0.1396421052631579,0.0,0.0,0.0,0.35376,2030s,ssp370
9,CDH,80.66666666666667,BTES,0.1396421052631579,0.0,0.0,0.0,0.39798,2030s,ssp370
10,CDH,44.666666666666664,BTES,0.1396421052631579,0.0,0.0,0.0,0.44220000000000004,2030s,ssp370
11,CDH,28.0,BTES,0.1396421052631579,0.0,0.0,0.0,0.48642,2030s,ssp370
12,CDH,16.0,BTES,0.1396421052631579,0.0,0.0,0.0,0.53064,2030s,ssp370
13,CDH,9.0,BTES,0.1396421052631579,0.0,0.0,0.0,0.57486,2030s,ssp370
14,CDH,7.2,BTES,0.1396421052631579,0.0,0.0,0.0,0.6190800000000001,2030s,ssp370
15,CDH,5.0,BTES,0.1396421052631579,0.0,0.0,0.0,0.6633,2030s,ssp370
16,CDH,7.0,BTES,0.1396421052631579,0.0,0.0,0.0,0.70752,2030s,ssp370
17,CDH,2.0,BTES,0.1396421052631579,0.0,0.0,0.0,0.7517400000000001,2030s,ssp370
1,CDH,614.3333333333334,unmet_demand,0.0,0.0,0.0,0.0,0.04422,2030s,ssp370
