,ssp,period,quantile,count,variable
176,ssp126,2031-2041,0,42014,HDH
196,ssp126,2031-2041,2.64485676861881E-05,971,HDH
191,ssp126,2031-2041,0.621908569335915,2102,HDH
183,ssp126,2031-2041,1.23366902669269,2263,HDH
184,ssp126,2031-2041,1.83515014648435,2240,HDH
186,ssp126,2031-2041,2.43077189127602,2163,HDH
192,ssp126,2031-2041,3.0313781738281,2095,HDH
193,ssp126,2031-2041,3.63480224609373,2094,HDH
185,ssp126,2031-2041,4.2382873535156,2183,HDH
187,ssp126,2031-2041,4.8474182128906,2159,HDH
194,ssp126,2031-2041,5.46485493977862,2025,HDH
190,ssp126,2031-2041,6.0920471191406,2114,HDH
195,ssp126,2031-2041,6.7457336425781,2001,HDH
188,ssp126,2031-2041,7.42415974934894,2152,HDH
182,ssp126,2031-2041,8.12185770670571,2297,HDH
181,ssp126,2031-2041,8.81697184244789,2375,HDH
189,ssp126,2031-2041,9.54146423339842,2138,HDH
179,ssp126,2031-2041,10.3686075846354,2433,HDH
180,ssp126,2031-2041,11.3660491943359,2392,HDH
178,ssp126,2031-2041,12.7873392740885,2602,HDH
177,ssp126,2031-2041,14.9491383870442,4746,HDH
197,ssp126,2031-2041,31.8296569824219,113,HDH
968,ssp126,2041-2051,0,81414,CDH
988,ssp126,2041-2051,3.45865885655883E-05,167,CDH
976,ssp126,2041-2051,0.286584472656273,324,CDH
977,ssp126,2041-2051,0.582147216796898,323,CDH
969,ssp126,2041-2051,0.883386230468773,360,CDH
974,ssp126,2041-2051,1.19264119466148,330,CDH
975,ssp126,2041-2051,1.51648864746096,329,CDH
971,ssp126,2041-2051,1.84905395507815,340,CDH
979,ssp126,2041-2051,2.20259246826174,315,CDH
970,ssp126,2041-2051,2.56795654296877,348,CDH
981,ssp126,2041-2051,2.96079915364586,309,CDH
972,ssp126,2041-2051,3.36797485351565,333,CDH
978,ssp126,2041-2051,3.79624837239586,316,CDH
983,ssp126,2041-2051,4.26107177734377,308,CDH
980,ssp126,2041-2051,4.77202504475914,311,CDH
984,ssp126,2041-2051,5.33524475097659,307,CDH
986,ssp126,2041-2051,5.96098480224612,297,CDH
985,ssp126,2041-2051,6.67320149739586,305,CDH
987,ssp126,2041-2051,7.51457366943362,272,CDH
982,ssp126,2041-2051,8.55979309082034,309,CDH
973,ssp126,2041-2051,10.1126876831055,331,CDH
989,ssp126,2041-2051,20.3302551269531,0,CDH
